"configuration","problem","model","data_file","status","time","nodes","nSolutions","solveTime","boolVariables","extractedViews","propagators","objective","failures","run","unifiedVariables","objectiveBound","intVariables","evaluatedReifiedConstraints","initTime","flatIntVars","intVars","userDecisions","flatIntConstraints","evaluatedHalfReifiedConstraints","variables","solutions","blockType","flatBoolConstraints","backjumps","optTime","method","propagations","trailMem","flatTime","nogoods","randomSeed","peakMem","baseMem","flatBoolVars","peakDepth","oracleDecisions","restarts","paths"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.2944132005796","","2","1199.565358","","8","67","14","7062197","results_filter","0","","97","","0.008629","105","","23072383","75","","","","complete","","","","minimize","92974716","","0.425827","","","","","","83","0","0","0"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.7760590324178338","","10","0.074292","","1","35","19","389","results_filter","0","","34","","0.007913","52","","2181","36","","","","complete","","","","minimize","17352","","0.172391","","","","","","119","682","7","0"
"gecode","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.8588176537305117","171","3","0.018789","","","61","18","49","results_filter","","","","","0.013608","77","","","57","","77","3","","","","","minimize","1522","","0.231425","","","","","","60","","0","0"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.626732655800879","","3","0.21784","","4","33","18","5194","results_filter","0","","29","","0.005843","49","","11458","37","","","","complete","","","","minimize","85465","","0.172683","","","","","","114","2316","107","0"
"Huub_free_diffn","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.5834616459906101","","2","0.010407","","8","49","17","14","results_filter","0","","69","","0.00645","77","","170","57","","","","complete","","","","minimize","752","","0.173403","","","","","","67","0","0","0"
"Huub_free_basic","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","574.8730691829696","","2","573.694393","","8","67","14","4785756","results_filter","0","","97","","0.008781","105","","9469270","75","","","","complete","","","","minimize","66211839","","0.255131","","","","","","201","4095127","128606","0"
"cp-sat","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.41416526585817337","","1","0.00624","22","","","6","2","results_filter","","6","","","","26","","","14","","","","","","","","minimize","49","","0.171485","","","","","","","","","0"
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.5644339891150594","","3","0.020977","","1","25","15","621","results_filter","0","","24","","0.006839","33","","724","26","","","","complete","","","","minimize","6016","","0.181978","","","","","","27","0","0","0"
"Huub_user_diffn","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.2692793468013","","4","1199.789673","","8","67","10","7258228","results_filter","0","","97","","0.008262","105","","30229524","75","","","","complete","","","","minimize","82389060","","0.200735","","","","","","87","0","0","0"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.45681541599333286","","3","0.024396","","1","25","15","746","results_filter","0","","32","","0.006641","33","","824","26","","","","complete","","","","minimize","8298","","0.171187","","","","","","33","274","40","0"
"Huub_free_m+o","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.6480293506756425","","1","0.227395","","8","49","28","4925","results_filter","0","","35","","0.006147","51","","5316","57","","","","complete","","","","minimize","88051","","0.174346","","","","","","40","3570","248","0"
"Huub_free_diffn","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.6040148343890905","","5","0.038716","","1","35","18","283","results_filter","0","","51","","0.006673","52","","1068","36","","","","complete","","","","minimize","8783","","0.172719","","","","","","138","498","3","0"
"Huub_free_basic","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.9709130357950926","","1","0.003547","","3","11","4","7","results_filter","0","","18","","0.004704","26","","32","14","","","","complete","","","","minimize","95","","0.244797","","","","","","20","0","0","0"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4719978701323271","","2","0.011426","","8","49","17","19","results_filter","0","","69","","0.007183","77","","180","57","","","","complete","","","","minimize","806","","0.173225","","","","","","67","0","0","0"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.46138032618910074","","3","0.025666","","1","25","15","717","results_filter","0","","32","","0.005592","33","","798","26","","","","complete","","","","minimize","7922","","0.164441","","","","","","33","224","36","0"
"gecode","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.6079396400600672","82","2","0.00804","","","60","21","13","results_filter","","","","","0.000772","69","","","57","","85","2","","","","","minimize","823","","0.178721","","","","","","53","","0","0"
"Huub_user_m+s","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.5608768872916698","","3","0.062426","","4","33","16","1130","results_filter","0","","45","","0.007245","49","","4792","37","","","","complete","","","","minimize","25409","","0.212383","","","","","","42","0","0","0"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.5077989343553782","","4","0.036381","","4","631","16","615","results_filter","0","","45","","0.013463","49","","2451","635","600","","","complete","180","","","minimize","156917","","0.203712","","","","","600","723","2722","0","0"
"Huub_free_decomp","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","1.0504371663555503","","3","0.022515","","1","333","15","671","results_filter","0","","32","","0.008816","33","","766","334","310","","","complete","127","","","minimize","65739","","0.17936","","","","","310","362","1101","12","0"
"Huub_free_m+s","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","98.87889495119452","","1","98.41137","","8","67","32","730500","results_filter","0","","65","","0.007027","73","","865695","75","","","","complete","","","","minimize","15344144","","0.187516","","","","","","123","607633","27955","0"
"Huub_user_m+s","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.282138466835","","3","1199.821466","","8","67","10","7056240","results_filter","0","","97","","0.007944","105","","31596106","75","","","","complete","","","","minimize","89791742","","0.170795","","","","","","87","0","0","0"
"gecode","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","4.179739537648857","1723585","3","3.75269","","","29","15","861787","results_filter","","","","","0.000612","33","","","26","","63","3","","","","","minimize","9786684","","0.17041","","","","","","29","","0","0"
"gecode","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.7133119348436594","67","1","0.004721","","","30","11","22","results_filter","","","","","0.000605","48","","","26","","48","1","","","","","minimize","482","","0.207746","","","","","","50","","0","0"
"Huub_user_m+o","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","8.488023512996733","","12","8.041852","","1","35","19","90998","results_filter","0","","34","","0.007548","52","","540687","36","","","","complete","","","","minimize","2474323","","0.172665","","","","","","43","0","0","0"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","90.67056598328054","","1","89.764203","","8","67","32","634836","results_filter","0","","65","","0.007386","73","","845133","75","","","","complete","","","","minimize","14459314","","0.18006","","","","","","147","489083","27783","0"
"gecode","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","0.8064389815554023","154","1","0.008085","","","79","18","58","results_filter","","","","","0.004235","105","","","75","","105","1","","","","","minimize","3146","","0.187425","","","","","","108","","0","0"
"Huub_user_decomp","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","1.0535802710801363","","1","0.045482","","1","277","18","1859","results_filter","0","","24","","0.008057","25","","1891","278","254","","","complete","127","","","minimize","163269","","0.291162","","","","","254","278","254","0","0"
"Huub_user_basic","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.5272196717560291","","1","0.10108","","8","49","28","2738","results_filter","0","","35","","0.006173","51","","2955","57","","","","complete","","","","minimize","24744","","0.176288","","","","","","40","0","0","0"
"Huub_user_diffn","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","1.6163231786340475","","3","0.019845","","1","25","15","621","results_filter","0","","24","","0.006171","33","","724","26","","","","complete","","","","minimize","6016","","0.223211","","","","","","27","0","0","0"
"Huub_user_decomp","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.46742497850209475","","3","0.022244","","1","333","15","623","results_filter","0","","32","","0.009378","33","","738","334","310","","","complete","127","","","minimize","56917","","0.200503","","","","","310","362","990","0","0"
"Huub_free_basic","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","55.68262077309191","","3","55.226739","","8","67","16","773252","results_filter","0","","65","","0.008638","105","","1112006","75","","","","complete","","","","minimize","10757625","","0.170756","","","","","","180","488503","21195","0"
"chuffed","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.7222109567374","16638865","1","1199.707","15453","","4936","18","9985266","results_filter","","","","2424","0.043","112","111","","2503","","15566","","","606","6653500","0.041","minimize","6310064407","0.05","0.289286","9985266","-661828795","0.0","0.0","2424","74","","1","0"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.5254277465865016","","2","0.010911","","8","1335","21","5","results_filter","0","","35","","0.0214","69","","110","1343","1288","","","complete","336","","","minimize","16265","","0.24063","","","","","1288","1582","3056","0","0"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.2352581555024","","2","1199.826367","","8","67","16","9483518","results_filter","0","","65","","0.007754","105","","13637570","75","","","","complete","","","","minimize","70850270","","0.169423","","","","","","76","0","0","0"
"chuffed","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","28.01136127486825","1045618","2","27.228","15581","","4936","11","181377","results_filter","","","","2424","0.04","112","111","","2503","","15694","","","606","864081","1.362","minimize","152697181","0.05","0.29569","181377","-1637242744","0.0","0.0","2424","83","","2","0"
"Huub_user_diffn","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","1.239151037298143","","3","0.022196","","8","49","18","99","results_filter","0","","35","","0.005746","77","","816","57","","","","complete","","","","minimize","2821","","0.21857","","","","","","57","0","0","0"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.5086507759988308","","2","0.040531","","4","751","15","1202","results_filter","0","","45","","0.014639","61","","5143","755","720","","","complete","180","","","minimize","213467","","0.20129","","","","","720","911","1697","0","0"
"Huub_free_m+o","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.2548882598057","","1","1199.841926","","8","67","34","3389096","results_filter","0","","49","","0.007078","57","","3416614","75","","","","complete","","","","minimize","65257457","","0.168259","","","","","","125","2656909","122454","0"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.6039214488118887","","1","0.055378","","1","25","18","2016","results_filter","0","","24","","0.005086","25","","2046","26","","","","complete","","","","minimize","18179","","0.196767","","","","","","24","0","0","0"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.5865494087338448","","1","0.028052","","1","25","18","920","results_filter","0","","24","","0.005172","25","","819","26","","","","complete","","","","minimize","10778","","0.198346","","","","","","24","246","34","0"
"Huub_user_decomp","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","49.007796788588166","","1","48.029246","","8","1521","32","333554","results_filter","0","","65","","0.025667","73","","337451","1529","1456","","","complete","608","","","minimize","49698618","","0.273664","","","","","1456","1616","1556","0","0"
"gecode","","../filters/filter.mzn","../filters/dct_1_3.dzn","SATISFIED","1200.3206726145","689053727","1","1199.83","","","78","32","344526837","results_filter","","","","","0.000894","73","","","75","","137","1","","","","","minimize","3052574787","","0.170377","","","","","","64","","0","0"
"Huub_free_diffn","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","1082.8694734768942","","1","1082.295059","","8","67","14","7279415","results_filter","0","","97","","0.007589","105","","14105765","75","","","","complete","","","","minimize","104215490","","0.173822","","","","","","197","6209691","280251","0"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","25.749366216361523","","7","25.345253","","8","67","10","331302","results_filter","0","","97","","0.007762","105","","585775","75","","","","complete","","","","minimize","3881839","","0.166741","","","","","","226","287747","7561","0"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.5767422122880816","","1","0.159856","","8","49","28","3400","results_filter","0","","35","","0.006144","51","","3058","57","","","","complete","","","","minimize","41759","","0.172686","","","","","","40","1580","55","0"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.2648783065379","","4","1199.813809","","8","67","10","8059728","results_filter","0","","97","","0.008271","105","","31783285","75","","","","complete","","","","minimize","87863198","","0.181899","","","","","","87","0","0","0"
"cp-sat","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.5659957695752382","","1","0.009234","44","","","28","4","results_filter","","28","","","","51","","","57","","","","","","","","minimize","453","","0.267195","","","","","","","","","0"
"Huub_user_m+s","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.8763547278940678","","1","0.003734","","3","11","6","14","results_filter","0","","18","","0.005694","26","","44","14","","","","complete","","","","minimize","134","","0.172696","","","","","","20","0","0","0"
"Huub_free_m+s","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.315816476941","","1","1199.823593","","8","67","34","3508625","results_filter","0","","49","","0.007713","57","","3392134","75","","","","complete","","","","minimize","65245060","","0.186647","","","","","","107","2680128","114752","0"
"Huub_free_diffn","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.7972260909155011","","3","0.017727","","1","25","10","180","results_filter","0","","32","","0.005056","48","","805","26","","","","complete","","","","minimize","4099","","0.203185","","","","","","131","195","1","0"
"Huub_free_basic","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.8633339386433363","","2","0.038069","","4","33","15","830","results_filter","0","","45","","0.007159","61","","3083","37","","","","complete","","","","minimize","11449","","0.369467","","","","","","52","260","5","0"
"cp-sat","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","9.776256875135005","","2","9.34105","179","","","10","138452","results_filter","","10","","","","105","","","75","","","","","","","","minimize","3787786","","0.173189","","","","","","","","","0"
"Huub_free_basic","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","94.53713431116194","","1","91.715055","","8","67","32","668140","results_filter","0","","49","","0.008085","73","","902204","75","","","","complete","","","","minimize","15210514","","0.356727","","","","","","110","514911","28523","0"
"gecode","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.8083586674183607","101","2","0.007366","","","41","11","17","results_filter","","","","","0.000655","61","","","37","","61","2","","","","","minimize","552","","0.177616","","","","","","46","","0","0"
"cp-sat","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","248.63391525577754","","2","248.193","224","","","11","3031283","results_filter","","11","","","","105","","","75","","","","","","","","minimize","88181021","","0.172304","","","","","","","","","0"
"Huub_free_basic","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.48616601154208183","","3","0.022721","","1","25","15","746","results_filter","0","","24","","0.005688","33","","809","26","","","","complete","","","","minimize","8272","","0.219251","","","","","","27","266","40","0"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.8488891180604696","","3","0.025352","","1","25","15","717","results_filter","0","","32","","0.005468","33","","798","26","","","","complete","","","","minimize","7930","","0.173994","","","","","","41","232","36","0"
"Huub_user_m+o","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.6170081403106451","","1","0.054463","","1","25","18","2354","results_filter","0","","24","","0.00511","25","","2385","26","","","","complete","","","","minimize","20606","","0.196967","","","","","","24","0","0","0"
"chuffed","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.9832795653492212","1188","1","0.009","5511","","1041","10","146","results_filter","","","","508","0.011","47","47","","531","","5560","","","127","1004","0.009","minimize","50620","0.01","0.237207","146","-547753804","0.0","0.0","508","38","","1","0"
"Huub_free_diffn","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","1.6191931646317244","","3","0.022575","","1","25","15","746","results_filter","0","","32","","0.006182","33","","824","26","","","","complete","","","","minimize","8301","","0.219222","","","","","","33","274","40","0"
"cp-sat","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.9184076953679323","","2","0.039908","72","","","17","3","results_filter","","17","","","","77","","","57","","","","","","","","minimize","431","","0.184323","","","","","","","","","0"
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.2416983600706","","4","1199.825601","","8","67","10","7829104","results_filter","0","","97","","0.008094","105","","30774914","75","","","","complete","","","","minimize","84606552","","0.167699","","","","","","87","0","0","0"
"Huub_free_m+o","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.8107690867036581","","2","0.009964","","8","49","21","5","results_filter","0","","35","","0.006487","69","","110","57","","","","complete","","","","minimize","856","","0.176095","","","","","","54","0","0","0"
"Huub_user_decomp","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.4567378433421254","","3","0.02573","","1","531","10","366","results_filter","0","","32","","0.010874","48","","1800","532","508","","","complete","127","","","minimize","68965","","0.184265","","","","","508","634","1790","0","0"
"Huub_user_decomp","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","32.91810226161033","","3","32.348669","","8","2497","16","603321","results_filter","0","","65","","0.034371","105","","660975","2505","2432","","","complete","608","","","minimize","68742315","","0.255464","","","","","2432","2954","3720","0","0"
"Huub_user_diffn","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","1.714609844610095","","2","0.119627","","4","33","11","5109","results_filter","0","","45","","0.006579","61","","7788","37","","","","complete","","","","minimize","18466","","0.223164","","","","","","47","0","0","0"
"Huub_user_diffn","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.5961996475234628","","2","0.009355","","8","49","21","5","results_filter","0","","35","","0.006141","69","","110","57","","","","complete","","","","minimize","856","","0.174437","","","","","","54","0","0","0"
"Huub_free_m+o","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.46690401155501604","","10","0.061648","","1","35","19","291","results_filter","0","","34","","0.007748","52","","1260","36","","","","complete","","","","minimize","13776","","0.169048","","","","","","123","719","5","0"
"Huub_free_diffn","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","36.40411483403295","","2","35.98421","","8","67","10","485080","results_filter","0","","97","","0.007616","105","","867542","75","","","","complete","","","","minimize","5818139","","0.160072","","","","","","201","409306","13245","0"
"Huub_user_basic","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.775169768370688","","4","0.371558","","4","33","18","10626","results_filter","0","","29","","0.005905","49","","35153","37","","","","complete","","","","minimize","212303","","0.169385","","","","","","37","0","0","0"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.6373250028118491","","1","0.003823","","3","11","6","14","results_filter","0","","18","","0.004717","26","","44","14","","","","complete","","","","minimize","135","","0.337686","","","","","","20","0","0","0"
"Huub_user_diffn","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.5797180766239762","","2","0.010315","","8","49","17","14","results_filter","0","","69","","0.006292","77","","170","57","","","","complete","","","","minimize","752","","0.173021","","","","","","67","0","0","0"
"Huub_user_basic","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.6398823568597436","","2","0.010123","","8","49","21","5","results_filter","0","","35","","0.007453","69","","110","57","","","","complete","","","","minimize","885","","0.196202","","","","","","54","0","0","0"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","1094.2519368855283","","4","1093.145936","","8","67","14","7206172","results_filter","0","","97","","0.008651","105","","14954036","75","","","","complete","","","","minimize","106653364","","0.253973","","","","","","222","5994720","277617","0"
"Huub_free_decomp","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.7756180157884955","","3","0.022446","","1","333","15","671","results_filter","0","","24","","0.008627","33","","751","334","310","","","complete","127","","","minimize","65606","","0.180733","","","","","310","357","1093","12","0"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.5814159223809838","","3","0.02634","","8","49","18","123","results_filter","0","","35","","0.005842","77","","954","57","","","","complete","","","","minimize","3261","","0.195249","","","","","","57","0","0","0"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","9.780351027846336","","12","9.378074","","1","35","19","90998","results_filter","0","","34","","0.005665","52","","540687","36","","","","complete","","","","minimize","2711878","","0.167746","","","","","","43","0","0","0"
"cp-sat","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.6293980097398162","","2","0.013029","64","","","21","0","results_filter","","21","","","","69","","","57","","","","","","","","minimize","416","","0.178801","","","","","","","","","0"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","45.443613030947745","","1","42.433571","","8","67","32","332297","results_filter","0","","49","","0.008207","73","","336966","75","","","","complete","","","","minimize","2232610","","0.355012","","","","","","55","0","0","0"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.4941059397533536","","2","0.010139","","8","49","21","5","results_filter","0","","35","","0.00622","69","","110","57","","","","complete","","","","minimize","896","","0.19734","","","","","","54","0","0","0"
"Huub_user_decomp","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.943053709343","","5","1199.722992","","8","2497","18","5581471","results_filter","0","","49","","0.035347","105","","6266134","2505","2432","","","complete","608","","","minimize","656456711","","0.257695","","","","","2432","2943","6997","0","0"
