"configuration","problem","model","data_file","status","time","flatBoolVars","failures","propagations","run","nSolutions","eliminatedImplications","flatBoolConstraints","evaluatedReifiedConstraints","trailMem","intVariables","blockType","userDecisions","peakMem","backjumps","solutions","flatIntConstraints","objective","evaluatedHalfReifiedConstraints","objectiveBound","paths","extractedViews","method","baseMem","initTime","flatIntVars","variables","solveTime","nodes","restarts","peakDepth","flatTime","intVars","nogoods","randomSeed","oracleDecisions","unifiedVariables","boolVariables","propagators"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7897761203348637","6592","1339","64767","results_rect","1","32","2112","4512","","69","complete","1087","","","","7334","","64","","0","7040","satisfy","","0.076528","2603","","0.124627","","79","2101","0.305258","","","","2581","0","","282"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","UNKNOWN","1200.2620163010433","176","31403071","866406751","results_rect","0","88","132","","","","","","","","0","261","","176","","0","","satisfy","","0.008262","115","295","1199.9","62806385","0","57","0.101185","","","","","","","395"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","4.499942005611956","26375","14661","2386879","results_rect","1","50","8375","17150","","127","complete","9964","","","","28214","","1300","","0","26425","satisfy","","0.270671","9408","","2.674631","","203","1466","1.01894","","","","7764","0","","1777"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.8180542066693306","10368","14679","628272","results_rect","1","36","3312","7092","","85","complete","10293","","","","11390","","72","","0","11016","satisfy","","0.114587","4015","","1.93486","","285","70","0.420492","","","","5780","0","","362"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","197.83610742539167","19964","882642","40080745","results_rect","1","46","6394","13616","","115","complete","625149","","","","21545","","92","","0","21022","satisfy","","0.205207","7527","","196.43878","","13217","1062","0.732764","","","","425138","0","","511"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","190.53144334536046","29781","682701","44607582","results_rect","1","54","9585","20250","","135","complete","558585","","","","31769","","108","","0","31131","satisfy","","0.319938","11022","","188.370185","","22021","1710","1.19969","","","","427337","0","","626"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.2422938747332","208","","","results_rect","0","104","156","","","","","","","","","309","","208","","0","","satisfy","","","139","","","","","","0.095684","","","","","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.5753468498588","20856","4741902","158256870","results_rect","0","48","6696","14208","","117","complete","4745631","","","","22441","","96","","0","21912","satisfy","","0.218582","7827","","1199.016583","","0","19","0.761236","","","","0","0","","517"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","72.29059110581875","15498","395660","15585746","results_rect","1","42","4956","10584","","103","complete","396284","","","","16839","","84","","0","16380","satisfy","","0.161226","5905","","71.106462","","0","20","0.612995","","","","0","0","","447"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","2.2795633440837264","8636","12956","656715","results_rect","1","34","2754","5916","","79","complete","8030","","","","9555","","68","","0","9214","satisfy","","0.094412","3383","","1.492909","","611","2755","0.363616","","","","13886","0","","329"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","60.692629798315465","39570","230759","11955313","results_rect","1","60","12750","26880","","153","complete","149078","","","","41991","","120","","0","41250","satisfy","","0.414545","14529","","57.97803","","2385","2005","1.50373","","","","115256","0","","729"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","8.610164483077824","36453","20931","1666493","results_rect","1","58","11745","24766","","147","complete","12592","","","","38729","","116","","0","38019","satisfy","","0.385442","13406","","6.118596","","463","2345","1.3375","","","","16043","0","","698"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","11.365329254418612","25175","52222","2730122","results_rect","1","50","8075","17150","","127","complete","37548","","","","27015","","100","","0","26425","satisfy","","0.269043","9408","","9.440669","","1419","1191","1.03055","","","","27884","0","","578"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.4955795565620065","13820","3898","192002","results_rect","1","40","4420","9440","","97","complete","2444","","","","15053","","80","","0","14620","satisfy","","0.142655","5283","","0.487294","","27","4420","0.535323","","","","10561","0","","421"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.5204284219071","19964","4939794","164833847","results_rect","0","46","6394","13616","","115","complete","4943747","","","","21545","","92","","0","21022","satisfy","","0.207066","7527","","1199.056473","","0","19","0.73485","","","","0","0","","511"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","730.9622518820688","19849","3343244","370994358","results_rect","1","46","6302","12834","","111","complete","3347556","","","","21316","","1104","","0","19803","satisfy","","0.204732","7086","","729.529217","","0","157","0.738361","","","","137","0","","1501"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","4.0766536723822355","8636","28112","1255334","results_rect","1","34","2754","5916","","79","complete","19450","","","","9555","","68","","0","9214","satisfy","","0.093358","3383","","3.361977","","868","2755","0.360116","","","","16287","0","","329"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","46.72210913896561","160","1386014","43906128","results_rect","1","80","120","","","","","","","","1","237","","160","","0","","satisfy","","0.006994","103","267","46.305","2772093","0","51","0.109833","","","","","","","359"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","23.178075332194567","14532","141482","5425034","results_rect","1","42","4662","9912","","99","complete","141755","","","","15769","","84","","0","15330","satisfy","","0.149347","5523","","22.027829","","0","22","0.571325","","","","0","0","","427"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.5855532577261","22896","4886746","163121043","results_rect","0","48","7344","15600","","121","complete","4890588","","","","24610","","96","","0","24048","satisfy","","0.245328","8575","","1198.877402","","0","16","0.875466","","","","0","0","","550"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.5989533830434","24000","4960920","557187462","results_rect","0","48","7620","15600","","121","complete","4964956","","","","25713","","1200","","0","24048","satisfy","","0.258506","8575","","1198.866908","","0","16","0.8702","","","","0","0","","1653"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.513336199335754","9180","7589","928236","results_rect","1","34","2890","5916","","79","complete","5606","","","","10098","","612","","0","9214","satisfy","","0.095881","3383","","0.776152","","213","3297","0.369547","","","","9631","0","","870"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","25.873721588402987","15498","154537","6966031","results_rect","1","42","4956","10584","","103","complete","121103","","","","16839","","84","","0","16380","satisfy","","0.167355","5905","","24.627463","","4181","109","0.634962","","","","62973","0","","447"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","72.48800822161138","15498","396337","15719345","results_rect","1","42","4956","10584","","103","complete","396985","","","","16839","","84","","0","16380","satisfy","","0.164431","5905","","71.290006","","0","21","0.606161","","","","0","0","","447"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.1604062505066","192","29940062","819710628","results_rect","0","96","144","","","","","","","","0","283","","192","","0","","satisfy","","0.003374","123","317","1199.91","59880215","0","57","0.091947","","","","","","","429"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.2792122513056","224","28842099","841294244","results_rect","0","112","168","","","","","","","","0","333","","224","","0","","satisfy","","0.007443","151","379","1199.88","57684210","0","60","0.113589","","","","","","","503"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.8575236555188894","6592","1188","53833","results_rect","1","32","2112","4512","","69","complete","1202","","","","7334","","64","","0","7040","satisfy","","0.075637","2603","","0.117566","","0","2094","0.309216","","","","2080","0","","282"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","26.43504235614091","15498","154637","7020783","results_rect","1","42","4956","10584","","103","complete","121232","","","","16839","","84","","0","16380","satisfy","","0.161885","5905","","25.311722","","4143","99","0.592453","","","","62709","0","","447"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.2368010748178","200","30308063","667317097","results_rect","0","100","150","","","","","","","","0","297","","200","","0","","satisfy","","0.002525","133","337","1199.89","60616326","0","54","0.109662","","","","","","","449"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.5034066205844283","11647","22056","2496056","results_rect","1","38","3686","7486","","87","complete","22157","","","","12672","","760","","0","11609","satisfy","","0.125786","4216","","2.620665","","0","98","0.453681","","","","77","0","","1049"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.5747498236596584","12420","3446","162051","results_rect","1","40","3980","8480","","93","complete","2606","","","","13545","","80","","0","13140","satisfy","","0.129268","4759","","0.476169","","27","65","0.524599","","","","1109","0","","393"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.7438238915056","39570","4312827","179941440","results_rect","0","60","12750","26880","","153","complete","4316473","","","","41991","","120","","0","41250","satisfy","","0.41312","14529","","1198.198271","","0","18","1.38431","","","","0","0","","729"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.5370101053268","20856","4749662","158511089","results_rect","0","48","6696","14208","","117","complete","4753354","","","","22441","","96","","0","21912","satisfy","","0.217926","7827","","1198.9655","","0","19","0.812097","","","","0","0","","517"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.775857382454","39846","4241060","621248276","results_rect","0","58","12702","25984","","151","complete","4244592","","","","42262","","1740","","0","39904","satisfy","","0.423741","14077","","1198.142795","","0","18","1.4318","","","","0","0","","2346"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.7963004289194942","7520","1606","69152","results_rect","1","32","2400","5152","","73","complete","1305","","","","8350","","64","","0","8032","satisfy","","0.083641","2959","","0.139715","","86","2381","0.328494","","","","2931","0","","306"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.3285403102636","1450","6266548","3131117801","results_rect","0","50","500","1300","0.05","","","","0.0","310269","","1496","","100","","0","","satisfy","0.0","0.042","133","25214","1199.849","6576826","0","17","0.147294","159","6266548","2076694269","","","25053","2737"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","10.772875214926898","26208","48763","2546171","results_rect","1","52","8424","17836","","129","complete","34957","","","","28052","","104","","0","27456","satisfy","","0.273401","9755","","8.994156","","1585","1536","0.97346","","","","28520","0","","584"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","21.807371826842427","14580","141432","16362248","results_rect","1","40","4610","9440","","97","complete","141707","","","","15812","","840","","0","14620","satisfy","","0.153037","5283","","20.715443","","0","102","0.57933","","","","81","0","","1179"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8375193206593394","7520","1343","54125","results_rect","1","32","2400","5152","","73","complete","1356","","","","8350","","64","","0","8032","satisfy","","0.085791","2959","","0.130616","","0","2381","0.333003","","","","2368","0","","306"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.4661145843565464","13180","3326","450513","results_rect","1","40","4170","8480","","93","complete","2606","","","","14304","","840","","0","13140","satisfy","","0.140797","4759","","0.434393","","27","213","0.539213","","","","1137","0","","1151"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.3609137125313","1450","7801856","4049512842","results_rect","0","50","500","1300","0.05","","","","0.0","249658","","1494","","100","","0","","satisfy","0.0","0.038","129","23644","1199.849","8051520","0","16","0.148765","155","7801856","1191371420","","","23487","2733"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","734.2501214230433","17996","3360107","111062060","results_rect","1","44","5764","12276","","109","complete","3364271","","","","19460","","88","","0","18964","satisfy","","0.182972","6803","","733.017069","","0","21","0.648514","","","","0","0","","484"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","67.62624743953347","17182","389065","48608351","results_rect","1","44","5445","11088","","105","complete","389771","","","","18526","","1012","","0","17138","satisfy","","0.1793","6161","","66.312366","","0","142","0.652063","","","","119","0","","1376"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8202940374612808","8007","1606","69320","results_rect","1","34","2567","5474","","75","complete","1307","","","","8841","","68","","0","8517","satisfy","","0.084915","3124","","0.149952","","86","2548","0.337641","","","","3096","0","","312"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.7743171341717243","10963","22159","835200","results_rect","1","38","3515","7486","","87","complete","22235","","","","11989","","76","","0","11609","satisfy","","0.119768","4216","","2.840427","","0","21","0.424809","","","","0","0","","368"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","ALL_SOLUTIONS","2.013807856477797","160","31990","2218021","results_rect","1","80","120","","","","","","","","","235","0","160","0","0","","satisfy","","","99","","1.75938","","","","0.094126","","","","","","268",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","2.7129759527742863","10963","14334","603065","results_rect","1","38","3515","7486","","87","complete","10305","","","","11989","","76","","0","11609","satisfy","","0.117315","4216","","1.724497","","287","327","0.464726","","","","5579","0","","368"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","68.02063273172826","16338","389785","46629806","results_rect","1","42","5166","10584","","103","complete","390466","","","","17678","","924","","0","16380","satisfy","","0.172191","5905","","66.764438","","0","130","0.643442","","","","112","0","","1286"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","255.9856210174039","168","7122281","207704890","results_rect","1","84","126","","","","","","","","1","249","","168","","0","","satisfy","","0.029614","109","281","255.703","14244726","0","61","0.091892","","","","","","","377"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","61.092504794709384","29781","227082","15974272","results_rect","1","54","9585","20250","","135","complete","163572","","","","31769","","108","","0","31131","satisfy","","0.321459","11022","","59.07139","","7105","1710","1.09024","","","","155862","0","","626"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.7678945036605","12420","25892","1127329","results_rect","1","40","3980","8480","","93","complete","25971","","","","13545","","80","","0","13140","satisfy","","0.129248","4759","","3.808915","","0","21","0.513096","","","","0","0","","393"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","26.921783634461462","15498","154637","7020783","results_rect","1","42","4956","10584","","103","complete","121232","","","","16839","","84","","0","16380","satisfy","","0.164144","5905","","25.777162","","4143","99","0.611644","","","","62709","0","","447"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.431307491846383","11780","24523","997836","results_rect","1","38","3762","8056","","91","complete","24604","","","","12901","","76","","0","12502","satisfy","","0.124353","4543","","3.438993","","0","20","0.493743","","","","0","0","","387"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","180.9615617878735","39570","656692","34870226","results_rect","1","60","12750","26880","","153","complete","512697","","","","41991","","120","","0","41250","satisfy","","0.423917","14529","","178.399481","","12835","2005","1.38865","","","","302828","0","","729"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","73.66568407882005","15498","396068","15109625","results_rect","1","42","4956","10584","","103","complete","396683","","","","16839","","84","","0","16380","satisfy","","0.162233","5905","","72.543505","","0","20","0.584398","","","","0","0","","447"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.2353915441781","240","","","results_rect","0","120","180","","","","","","","","","355","","240","","0","","satisfy","","","159","","","","","","0.096318","","","","","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.6240431731567","28652","4280547","159465068","results_rect","0","52","9204","19500","","133","complete","4290105","","","","30636","","104","","0","30004","satisfy","","0.30955","10643","","1198.645698","","0","19","1.04264","","","","0","0","","620"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8861345257610083","8007","1606","69320","results_rect","1","34","2567","5474","","75","complete","1307","","","","8841","","68","","0","8517","satisfy","","0.086498","3124","","0.148579","","86","2548","0.340748","","","","3096","0","","312"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","2.5332537395879626","9162","15572","679051","results_rect","1","36","2934","6264","","81","complete","11546","","","","10085","","72","","0","9738","satisfy","","0.093788","3561","","1.756098","","331","2937","0.363483","","","","11757","0","","335"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.6893630959094","26208","4357869","146617486","results_rect","0","52","8424","17836","","129","complete","4363727","","","","28052","","104","","0","27456","satisfy","","0.275432","9755","","1198.702137","","0","16","1.02085","","","","0","0","","584"
