"configuration","problem","model","data_file","status","time","flatTime","nSolutions","nogoods","extractedViews","propagations","boolVariables","evaluatedHalfReifiedConstraints","oracleDecisions","userDecisions","run","flatBoolConstraints","nodes","intVars","failures","intVariables","unifiedVariables","evaluatedReifiedConstraints","flatIntConstraints","paths","baseMem","backjumps","peakDepth","restarts","flatIntVars","solutions","variables","method","randomSeed","initTime","trailMem","flatBoolVars","eliminatedImplications","propagators","blockType","peakMem","objective","solveTime","objectiveBound"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.5688528204336762","0.569307","1","","14620","177973","","80","10470","2445","results_rect","4420","","","3826","97","0","9440","15053","0","","","4420","27","5283","","","satisfy","","0.141287","","13820","40","421","complete","","","0.504615",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","4.003683086484671","0.739246","1","","19803","2859528","","1104","11337","10393","results_rect","6302","","","17240","111","0","12834","21316","0","","","986","465","7086","","","satisfy","","0.202975","","19849","46","1501","complete","","","2.623956",""
"Huub_vsids_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.2692908458411694","0.598093","1","","15330","230671","","924","7020","0","results_rect","4872","","","928","99","0","9912","16608","0","","","5827","3","5523","","","satisfy","","0.161899","","15372","42","1265","complete","","","0.144901",""
"Huub_vsids_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.2120893178507686","0.558919","1","","14620","56588","","80","5118","0","results_rect","4420","","","518","97","0","9440","15053","0","","","4424","1","5283","","","satisfy","","0.142331","","13820","40","421","complete","","","0.095397",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.5425119744613767","0.411006","1","","11016","612029","","72","8165","8052","results_rect","3312","","","14564","85","0","7092","11390","0","","","369","283","4015","","","satisfy","","0.109321","","10368","36","362","complete","","","1.710583",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.6673722658306","1.08025","0","","31131","156783159","","108","0","4211885","results_rect","9585","","","4202422","135","0","20250","31769","0","","","19","0","11022","","","satisfy","","0.3138","","29781","54","626","complete","","","1198.601914",""
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.8708174629137","1.49654","0","","41250","173210571","","120","0","4145496","results_rect","12750","","","4142031","153","0","26880","41991","0","","","18","0","14529","","","satisfy","","0.42233","","39570","60","729","complete","","","1198.076659",""
"Huub_vsids_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.3341239485889673","0.564964","1","","15330","95217","","84","6109","0","results_rect","4662","","","1171","99","0","9912","15769","0","","","4668","4","5523","","","satisfy","","0.151715","","14532","42","427","complete","","","0.26313",""
"Huub_vsids_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp18_true.dzn","SATISFIED","1.2219901476055384","0.367064","1","","9738","198444","","72","6170","0","results_rect","2934","","","2923","81","0","6264","10085","0","","","2935","2","3561","","","satisfy","","0.094347","","9162","36","335","complete","","","0.501967",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.6902483226731","1.06664","0","","26425","142984754","","100","0","4278726","results_rect","8075","","","4273252","127","0","17150","27015","0","","","16","0","9408","","","satisfy","","0.275434","","25175","50","578","complete","","","1198.654376",""
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","46.31748822424561","1.01904","1","","26425","11127244","","100","119029","159878","results_rect","8075","","","221412","127","0","17150","27015","0","","","752","6329","9408","","","satisfy","","0.268474","","25175","50","578","complete","","","44.474754",""
"Huub_vsids_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.2897778544574976","0.509298","1","","13140","173118","","80","14712","0","results_rect","3980","","","2568","93","0","8480","13545","0","","","4031","2","4759","","","satisfy","","0.129945","","12420","40","393","complete","","","0.335466",""
