"configuration","problem","model","data_file","status","time","baseMem","optTime","restarts","evaluatedHalfReifiedConstraints","randomSeed","variables","boolVariables","peakMem","initTime","flatBoolVars","solutions","objective","solveTime","nSolutions","intVariables","flatIntConstraints","blockType","nogoods","nodes","oracleDecisions","intVars","method","error","propagators","unifiedVariables","flatBoolConstraints","propagations","peakDepth","failures","eliminatedImplications","flatIntVars","extractedViews","userDecisions","run","trailMem","evaluatedReifiedConstraints","flatTime","backjumps","objectiveBound","paths"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","5.967172985896468","","","20","","","","","","0.321203","15200","","S(6)","3.981781","6","6097","14959","complete","","","364840","","minimize","","11958","0","9000","2418129","26524","1494","1000","6100","7000","0","results_prod_new","","18200","1.16944","","","0"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","10.310511635616422","","","35","","","","","","0.057343","3980","","S(4)","9.678196","6","1547","3901","complete","","","197766","","minimize","","3250","0","2350","2549342","3396","2665","250","1550","1750","0","results_prod_new","","4830","0.310879","","","0"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","UNKNOWN","1200.5927776349708","","","0","16560","","19968","","","0.170101","18480","0","","1198.58","0","","19220","","","3543127","","","minimize","","22489","","3960","1029516245","210","1771473","240","1488","","","results_prod_new","","1680","1.41733","","","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","OPTIMAL_SOLUTION","390.02844755910337","","","136","1485000","","","","","25.037965","1567750","","S(16)","191.373466","3","30197","1563794","complete","","","26659600","","minimize","","1552543","0","296250","610605069","2958248","27387","5000","30200","35000","0","results_prod_new","","101500","133.342","","","0"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","SATISFIED","1211.5340411374345","","","","","","","","","","530640","","S(28)","","3","","533098","","","","","","minimize","","","","105450","","","","2250","13649","","","results_prod_new","","530580","48.0576","","","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","OPTIMAL_SOLUTION","83.15952343586832","","","225","","","","","","1.449393","82750","","S(16)","73.660754","7","30197","78844","complete","","","1495617","","minimize","","67593","0","48750","34125241","64010","40329","5000","30200","35000","0","results_prod_new","","101500","5.82628","","","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","1.860976736061275","","","32","","","","","","0.057079","3980","","S(4)","1.305873","6","1547","3901","complete","","","100677","","minimize","","3250","0","2350","1163119","3297","2860","250","1550","1750","0","results_prod_new","","4830","0.30693","","","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","23.46956780180335","","","51","","","","","","0.28541","15200","","S(6)","21.774328","5","6097","14959","complete","","","847315","","minimize","","11958","0","9000","7383657","26454","5297","1000","6100","7000","0","results_prod_new","","18200","0.967404","","","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","467.5331794526428","","","20","","","","","","0.26505","16100","","S(16)","465.618437","2","6097","15564","complete","","","10995228","","minimize","","13063","0","9500","165322077","14912","148628","1000","6100","7000","0","results_prod_new","","19600","1.06534","","","0"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","5.526981832459569","0.0","2.246","2","","432038122","52190","50639","0.0","0.328","21200","","9","3.004","2","","21545","","7246","96675","","1549","minimize","","38596","","5250","18040930","1323","7246","250","1549","","","results_prod_new","0.12","21150","1.64969","86839","","0"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1230.4062320310622","","","","1485000","","","","","","1553800","","","","0","","1559295","","","","","","minimize","","","","296500","","","","5000","30200","","","results_prod_new","","68600","140.615","","","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","67.32501094415784","","","1960","","","","","","0.636135","36900","","S(14)","63.15805","8","13647","35349","complete","","","1328686","","minimize","","30098","0","21750","28007862","30776","90658","2250","13650","15750","0","results_prod_new","","45150","2.58238","","","0"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","UNKNOWN","1200.9661221085116","","","32","","","","","","0.56367","37710","","","1197.131278","0","13647","35892","complete","","","48350552","","minimize","","31091","0","22200","1713318395","26367","166302","2250","13650","15750","0","results_prod_new","","46410","2.34587","","","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","154.6343496562913","","","2643","499500","","","","","8.203354","537210","","S(13)","89.051248","3","13647","535362","complete","","","3482025","","minimize","","530561","0","105450","358459023","521520","57242","2250","13650","15750","0","results_prod_new","","46410","43.6627","","","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","OPTIMAL_SOLUTION","432.78053444903344","","","259","1485000","","","","","24.914563","1565500","","S(11)","239.024425","11","30197","1562289","complete","","","38135809","","minimize","","1549788","0","295000","1799939457","2998709","24775","5000","30200","35000","0","results_prod_new","","98000","128.626","","","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","6.3735898630693555","","","43","","","","","","0.244926","16640","","S(13)","4.404381","8","6097","15927","complete","","","188236","","minimize","","13726","0","9800","3765377","12497","3999","1000","6100","7000","0","results_prod_new","","20440","1.11591","","","0"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","SATISFIED","1203.154028005898","","","","147000","","","159154","","","159800","","S(20)","467.666","1","","161139","","","","","","minimize","","","","33500","64949517","","33936","1000","6100","","","results_prod_new","","12600","13.6201","","2","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","OPTIMAL_SOLUTION","186.58868766017258","","","117","","","","","","0.733492","35550","","S(8)","182.768217","6","13647","34444","complete","","","3206938","","minimize","","28443","0","21000","38371731","49981","33830","2250","13650","15750","0","results_prod_new","","43050","2.25367","","","0"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","UNKNOWN","1230.9479209259152","","","","1485000","","","","","","1553500","","","","0","","1559044","","","","","","minimize","","","","296250","","","","5000","30200","","","results_prod_new","","68250","145.135","","","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","9.375857011415064","","","91","","","","","","0.536245","37170","","S(20)","5.249556","3","13647","35530","complete","","","179666","","minimize","","30429","0","21900","4806859","24451","2514","2250","13650","15750","0","results_prod_new","","45570","2.58232","","","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","358.60515828151256","","","349","1485000","","","","","24.691545","1568200","","S(30)","163.089181","5","30197","1564095","complete","","","14075585","","minimize","","1553094","0","296500","699310578","2879537","5979","5000","30200","35000","0","results_prod_new","","102200","130.255","","","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","10.378650425933301","","","75","","","","","","0.542378","37170","","S(20)","6.483265","3","13647","35530","complete","","","153597","","minimize","","30429","0","21900","5303921","24568","11954","2250","13650","15750","0","results_prod_new","","45570","2.46775","","","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","OPTIMAL_SOLUTION","372.32244641520083","","","835","","","","","","1.443641","83200","","S(24)","362.906841","16","30197","79145","complete","","","6172572","","minimize","","68144","0","49000","130859915","61896","78617","5000","30200","35000","0","results_prod_new","","102200","5.93291","","","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","156.3673943290487","","","3721","","","","","","0.562599","37710","","S(13)","152.38418","16","13647","35892","complete","","","2256910","","minimize","","31091","0","22200","76230360","26104","155887","2250","13650","15750","0","results_prod_new","","46410","2.3788","","","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","UNKNOWN","1201.0736805042252","","","17","","","","","","0.61429","36900","","","1196.943049","0","13647","35349","complete","","","3793533","","minimize","","30098","0","21750","548063170","6099","753010","2250","13650","15750","0","results_prod_new","","45150","2.55608","","","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","52.334614287130535","","","4268","","","","","","0.231131","16280","","S(20)","50.584076","1","6097","15685","complete","","","1034860","","minimize","","13284","0","9600","39952375","11645","149174","1000","6100","7000","0","results_prod_new","","19880","1.07458","","","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1202.1043765256181","","","50","","","","","","1.74012","80500","","","1192.781097","0","30197","77339","complete","","","60284819","","minimize","","64838","0","47500","214354855","60377","83257","5000","30200","35000","0","results_prod_new","","98000","5.60887","","","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","2.9717230955138803","","","21","18000","","","","","0.337133","21710","","S(10)","0.375316","1","1547","21708","complete","","","69604","","minimize","","20907","0","5200","2069431","36510","825","250","1550","1750","0","results_prod_new","","4410","1.6327","","","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","0.9084163997322321","","","0","","","","","","0.061563","3980","","S(6)","0.125725","5","1547","3901","complete","","","17751","","minimize","","3250","0","2350","144158","3020","615","250","1550","1750","0","results_prod_new","","4830","0.340459","","","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","SATISFIED","1201.9296282622963","","","87","","","","","","1.333483","82750","","S(20)","1193.646436","6","30197","78844","complete","","","10547004","","minimize","","67593","0","48750","213647729","67155","54355","5000","30200","35000","0","results_prod_new","","101500","5.08478","","","0"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","UNKNOWN","1204.5938771078363","","","","147000","","","","","","155000","","","","0","","158061","","","","","","minimize","","","","29500","","","","1000","6100","","","results_prod_new","","7000","13.2023","","","0"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1201.0418415814638","","","56","","","","","","0.702863","35550","","S(11)","1197.098537","2","13647","34444","complete","","","2993598","","minimize","","28443","0","21000","40830815","48123","17179","2250","13650","15750","0","results_prod_new","","43050","2.26537","","","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","196.3221532162279","","","2656","","","","","","0.61923","36900","","S(14)","192.095098","8","13647","35349","complete","","","3565450","","minimize","","30098","0","21750","72580288","30620","142175","2250","13650","15750","0","results_prod_new","","45150","2.67627","","","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","OPTIMAL_SOLUTION","684.836260933429","","","235","1485000","","","","","31.945097","1568200","","S(24)","468.141803","14","30197","1564095","complete","","","64846097","","minimize","","1553094","0","296500","1746519334","2937155","19768","5000","30200","35000","0","results_prod_new","","102200","139.082","","","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","350.366645664908","","","349","1485000","","","","","24.763346","1568200","","S(30)","161.067062","5","30197","1564095","complete","","","14075585","","minimize","","1553094","0","296500","699310578","2879537","5979","5000","30200","35000","0","results_prod_new","","102200","125.197","","","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","83.28651905525476","","","1964","","","","","","0.626819","36900","","S(14)","79.122377","17","13647","35349","complete","","","1844765","","minimize","","30098","0","21750","36304080","30080","114663","2250","13650","15750","0","results_prod_new","","45150","2.56222","","","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","519.2938345465809","","","5488","","","","","","1.263225","84100","","S(17)","510.613412","28","30197","79747","complete","","","5918171","","minimize","","69246","0","49500","220973858","57184","255959","5000","30200","35000","0","results_prod_new","","103600","5.37052","","","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","0.892011133953929","","","13","","","","","","0.063706","3710","","S(10)","0.304651","1","1547","3718","complete","","","28977","","minimize","","2917","0","2200","271765","3827","949","250","1550","1750","0","results_prod_new","","4410","0.321493","","","0"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1211.9940366502851","","","","","","","","","","530100","","S(26)","","5","","532645","","","","","","minimize","","","","105000","","","","2250","13649","","","results_prod_new","","529950","46.6076","","","0"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","UNKNOWN","1210.3314714292064","","","","499500","","","","","","530640","","","","0","","533172","","","","","","minimize","","","","105450","","","","2250","13650","","","results_prod_new","","31080","47.7091","","","0"
"Huub_vsids_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","1.2113709188997746","","","56","","","","","","0.061098","3800","","S(9)","0.548455","2","1547","3779","complete","","","35166","","minimize","","3028","0","2250","523439","3358","3575","250","1550","1750","0","results_prod_new","","4550","0.319688","","","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","3.127878396771848","","","32","18000","","","","","0.298414","21800","","S(9)","0.638251","2","1547","21769","complete","","","146747","","minimize","","21018","0","5250","3841430","36487","2013","250","1550","1750","0","results_prod_new","","4550","1.54403","","","0"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","UNKNOWN","1203.1877515902743","","","","147000","","","","","","160520","","","","0","","161745","","","","","","minimize","","","","34100","","","","1000","6100","","","results_prod_new","","13440","13.4742","","","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","1.2420373149216175","","","8","","","","","","0.059688","3980","","S(6)","0.620628","5","1547","3901","complete","","","48842","","minimize","","3250","0","2350","808577","3057","1682","250","1550","1750","0","results_prod_new","","4830","0.323236","","","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","0.8613029783591628","","","14","","","","","","0.056058","3980","","S(6)","0.265671","5","1547","3901","complete","","","23664","","minimize","","3250","0","2350","272010","2982","1384","250","1550","1750","0","results_prod_new","","4830","0.309845","","","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","3.4440270327031612","","","545","","","","","","0.062519","3810","","S(5)","2.76001","4","1485","3738","complete","","","102214","","minimize","","3107","0","2250","1851716","3438","21562","240","1488","1680","0","results_prod_new","","4620","0.318781","","","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","24.218871786259115","","","35","147000","","","","","2.280599","163100","","S(8)","5.543124","6","6097","162544","complete","","","1879272","","minimize","","160043","0","34000","39079231","291448","1277","1000","6100","7000","0","results_prod_new","","19600","12.3266","","","0"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1230.54945485387","","","","","","","","","","1553800","","","","0","","1559196","","","","","","minimize","","","","296500","","","","5000","30199","","","results_prod_new","","1553600","132.901","","","0"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","ERROR","225.3744705086574","","","","1485000","","","","","","1525000","","","","0","","1539709","","","","","","minimize","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","272500","","","","5000","30200","","","results_prod_new","","35000","135.317","","","0"
"Huub_vsids_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","0.8749565798789263","","","13","","","","","","0.061101","3710","","S(10)","0.268014","1","1547","3718","complete","","","23233","","minimize","","2917","0","2200","247034","3614","1013","250","1550","1750","0","results_prod_new","","4410","0.323951","","","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","2.881076266989112","","","0","18000","","","","","0.299496","21980","","S(6)","0.271241","5","1547","21891","complete","","","188626","","minimize","","21240","0","5350","1693623","36450","586","250","1550","1750","0","results_prod_new","","4830","1.56395","","","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","OPTIMAL_SOLUTION","502.8535961145535","","","1175","","","","","","1.408892","82750","","S(16)","493.962006","7","30197","78844","complete","","","11478267","","minimize","","67593","0","48750","139088297","67222","91109","5000","30200","35000","0","results_prod_new","","101500","5.48737","","","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","0.8323793699964881","","","0","","","","","","0.060462","3980","","S(6)","0.13338","5","1547","3901","complete","","","17623","","minimize","","3250","0","2350","148177","2974","659","250","1550","1750","0","results_prod_new","","4830","0.435141","","","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","173.34841449186206","","","1387","","","","","","1.185859","83200","","S(30)","165.037374","12","30197","79145","complete","","","2589112","","minimize","","68144","0","49000","76503205","53261","69347","5000","30200","35000","0","results_prod_new","","102200","5.20231","","","0"
